taxon_name,level_6
Arctostaphylos uva-ursi,Arctostaphylos
Arctous alpina/A. rubra,Arctous
Cassiope-type,Cassiope
cf. Juglans,Juglans
cf. Lysimachia,Lysimachia
cf. Ostrya/Carpinus,Ostrya
Coniferae undiff.,Pinales
Elaeagnus commutata,Elaeagnus
Picea glauca,Picea
Picea mariana,Picea
Populus balsamifera,Populus
Populus tremuloides,Populus
Rhododendron subsect. Ledum-type,Rhododendron
Rumex/Oxyria digyna,Rumex
Shepherdia argentea,Shepherdia
Shepherdia canadensis,Shepherdia
Thalictrum/Coptis,Thalictrum
Tsuga heterophylla,Tsuga
Acer saccharum-type,Acer
Acer undiff.,Acer
Amaranthaceae undiff.,Amaranthaceae
Cephalanthus,Cephalanthus
Corylus,Corylus
Fraxinus nigra-type,Fraxinus
Fraxinus undiff.,Fraxinus
Ilex/Nemopanthus undiff.,Ilex
Iva annua,Iva
Juglans cinerea,Juglans
Juglans nigra,Juglans
Juniperus/Thuja,Juniperus
Pinus strobus,Pinus
Rubiaceae undiff.,Rubiaceae
Sarcobatus vermiculatus,Sarcobatus
Apiaceae undiff.,Apiaceae
Cnidium,Cnidium
Dodecatheon,Dodecatheon
Douglasia,Androsace
Fabaceae undiff.,Fabaceae
Lagotis glauca,Lagotis
Lesquerella,Physaria
Liliaceae undiff.,Liliaceae
Lupinus,Lupinus
Mertensia-type,Mertensia
Micranthes hieraciifolia,Micranthes
Oxytropis,Oxytropis
Pedicularis lanceolata,Pedicularis
Phlox,Phlox
Plantago canescens,Plantago
Rhododendron subsect. Ledum,Rhododendron
Saxifraga cernua,Saxifraga
Saxifraga tricuspidata,Saxifraga
Saxifragaceae undiff.,Saxifragaceae
Mertensia,Mertensia
Persicaria lapathifolia,Persicaria
Acer cf. A. negundo,Acer
Ceanothus,Ceanothus
Cercocarpus,Cercocarpus
Elaeagnus/Shepherdia argentea,Elaeagnus
Lewisia,Lewisia
Malvaceae sensu stricto,Malvaceae
Ceanothus-type,Ceanothus
Cyclachaena xanthiifolia-type,Cyclachaena
Eriogonum,Eriogonum
Onagraceae,Onagraceae
Persicaria amphibia-type,Persicaria
Pinus albicaulis-type,Pinus
Pinus contorta-type,Pinus
Polygonum californicum-type,Polygonum
Pseudotsuga-type,Pseudotsuga
Scrophulariaceae-type,Scrophulariaceae
Sphaeralcea,Sphaeralcea
Tsuga mertensiana,Tsuga
Acer saccharum,Acer
Cornus canadensis,Cornus
Cornus racemosa,Cornus
Dalea,Dalea
Fraxinus nigra,Fraxinus
Fraxinus pennsylvanica,Fraxinus
Saxifraga undiff.,Saxifraga
Shepherdia,Shepherdia
cf. Pedicularis,Pedicularis
Coptis-type,Coptis
Micranthes nivalis-type,Micranthes
Pinus contorta,Pinus
Rubus-type undiff.,Rubus
Saxifraga cf. S. hirculus,Saxifraga
Asteraceae undiff.,Asteraceae
Dryas-type,Dryas
Acer circinatum-type,Acer
Acer macrophyllum-type,Acer
Amelanchier-type,Amelanchier
Bistorta bistortoides-type,Bistorta
Cornus canadensis-type,Cornus
Eriogonum-type,Eriogonum
Garrya-type,Garrya
Hydrophyllaceae-type,Hydrophyllaceae
Stellaria-type,Stellaria
Thuja-type,Thuja
Valeriana-type,Valeriana
Valerianella-type,Valerianella
Alnus (pentaporate),Alnus
Alnus (tetraporate),Alnus
Amorpha,Amorpha
Cercocarpus-type,Cercocarpus
Delphinium,Delphinium
Ephedra trifurca-type,Ephedra
Ephedra undiff.,Ephedra
Ephedra viridis-type,Ephedra
Gilia,Gilia
Pedicularis contorta-type,Pedicularis
Pedicularis groenlandica-type,Pedicularis
Polemoniaceae undiff.,Polemoniaceae
Polygonum californicum,Polygonum
Purshia-type,Purshia
Ribes lacustre,Ribes
Ribes montigenum,Ribes
Ribes undiff.,Ribes
Acer negundo,Acer
Acer rubrum,Acer
Acer saccharinum-type,Acer
Acer spicatum,Acer
Alnus incana-type,Alnus
Chenopodium-type,Chenopodium
Ephedra nevadensis-type,Ephedra
Fraxinus pennsylvanica-type,Fraxinus
Humulus/Cannabis sativa,Humulus
Iva annua-type,Iva
Juglans cinerea-type,Juglans
Pinus banksiana/P. resinosa,Pinus
Polygonum sensu lato undiff.,Polygonum
Salsola,Salsola
Trientalis,Lysimachia
Acer pensylvanicum,Acer
Acer saccharinum,Acer
Celtis/Maclura,Celtis
Cirsium/Carduus-type,Cirsium
Cornus florida,Cornus
Hypoxis,Hypoxis
Itea,Itea
Juglans undiff.,Juglans
Liriodendron,Liriodendron
Persicaria hydropiper-type,Persicaria
Sanguisorba canadensis,Sanguisorba
Urtica-type,Urtica
Cannabaceae-type,Cannabaceae
Dipsacoideae,Caprifoliaceae
cf. Saxifragaceae,Saxifragaceae
Cyclachaena xanthiifolia,Cyclachaena
Ephedra torreyana-type,Ephedra
Lamiaceae cf. Stachys,Lamiaceae
Ambrosia/Iva,Ambrosia
